,building_room_crn,buildingName,icon_id,102_room_checklist,401_furniture_types,404_writing_surfaces,501_tech_checklist,501_tech_checklist_UPDATED,freq
0,MCCONN 103,FM121,too-hot,"Bulletin Board or Other Display,Clock,Instructor Desk,Trash,Recycling","chairs - movable,table(s) - fixed",wall mounted chalkboard(s),"Audio/Visual Equipped Teaching Station,Ceiling Mounted Projector,Desktop Computer,Microphone(s),Speakers","Lectern,Data Projector,Computer,Microphone(s),Speakers",17
1,SAB-RD 301,FM128,too-hot,"Bulletin Board or Other Display,Clock,Coat Hooks,Lectern,Trash,Recycling","chairs - movable,table(s) - fixed,table(s) - movable",wall mounted chalkboard(s),"Audio/Visual Equipped Teaching Station,Ceiling Mounted Projector,Desktop Computer,Speakers,Telephone","Lectern,Data Projector,Computer,Speakers,Telephone",15
2,SAB-RD 220,FM128,too-hot,"Bulletin Board or Other Display,Clock,Coat Hooks,Lectern,Instructor Desk,Trash","chairs - movable,table(s) - movable","wall mounted chalkboard(s),wall mounted whiteboard(s),smartboard","Audio/Visual Equipped Teaching Station,Ceiling Mounted Projector,Desktop Computer,Speakers,Telephone","Lectern,Data Projector,Computer,Speakers,Telephone",11
3,WRIGHT WEIN,FM137,too-hot,"Lectern,Clock","chairs - fixed,chairs - movable,tablet arm - drop",none,"Audio/Visual Equipped Teaching Station,Ceiling Mounted Projector,Desktop Computer,Microphone(s),Speakers,Telephone","Lectern,Data Projector,Computer,Microphone(s),Speakers,Telephone",10
4,FORD 022/024,FM138,too-hot,"Bulletin Board or Other Display,Clock,Coat Hooks,Trash,Recycling,Instructor Desk,Lectern","chairs - movable,table(s) - fixed,table(s) - movable,stools - back","wall mounted whiteboard(s),mobile whiteboard(s)","Ceiling Mounted Projector,Desktop Computer,Speakers,Telephone","Data Projector,Computer,Speakers,Telephone",8
5,SEELYE 312,FM133,too-hot,"Bulletin Board or Other Display,Clock,Lectern,Instructor Desk","chairs - movable,tablet arm - fixed",wall mounted chalkboard(s),"Audio/Visual Equipped Teaching Station,Ceiling Mounted Projector,Desktop Computer,Speakers","Lectern,Data Projector,Computer,Speakers",8
6,SAB-RD 101,FM128,too-hot,"Bulletin Board or Other Display,Clock,Recycling,Trash","chairs - movable,table(s) - movable, cabinet/bench tables - fixed","wall mounted chalkboard(s),wall mounted whiteboard(s)","Ceiling Mounted Projector,Desktop Computer,Speakers","Data Projector,Computer,Speakers",7
7,WRIGHT 238,FM137,too-hot,"Bulletin Board or Other Display,Lectern","chairs - movable,table(s) - fixed",wall mounted whiteboard(s),"Ceiling Mounted Projector,Speakers, AV box","Data Projector,Speakers, AV box",7
8,SAGE RECIT,FM129,too-hot,"Trash,Recycling",chairs - movable,none,"Audio/Visual Closet,Ceiling Mounted Projector","Audio/Visual Closet,Data Projector",7
9,SEELYE 110,FM133,too-hot,"Bulletin Board or Other Display,Clock,Lectern","chairs - movable,tablet arm - fixed,table(s) - movable",wall mounted chalkboard(s),"Audio/Visual Equipped Teaching Station,Ceiling Mounted Projector,Desktop Computer,Speakers","Lectern,Data Projector,Computer,Speakers",6
